epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.848,1.70387,3.31795,1.51761,0.37506,0.60744,0.48731,0.34633,0.93922,1.63059,1.18243,0.0670528,0.0003328,0.0003328
2,402.044,0.84492,1.44045,1.07599,0.83938,0.85297,0.90517,0.75792,0.60986,0.64952,0.98295,0.0340264,0.000639754,0.000639754
3,603.966,0.67421,1.0132,1.00261,0.88501,0.88634,0.94685,0.86634,0.39481,0.48207,0.87943,0.000973642,0.000920309,0.000920309
4,798.877,0.59112,0.85815,0.96749,0.91668,0.89891,0.9623,0.90736,0.33309,0.38933,0.84674,0.0008812,0.0008812,0.0008812
5,997.796,0.5338,0.7799,0.94364,0.90573,0.91289,0.96384,0.92275,0.3037,0.37416,0.83037,0.0008416,0.0008416,0.0008416
6,1200.17,0.49584,0.72814,0.92939,0.93569,0.93095,0.97259,0.93913,0.27139,0.31395,0.81781,0.000802,0.000802,0.000802
7,1387.24,0.46941,0.69515,0.91999,0.9298,0.9416,0.97364,0.94131,0.26697,0.29439,0.81488,0.0007624,0.0007624,0.0007624
8,1579.95,0.45343,0.67745,0.91561,0.93566,0.93636,0.97631,0.94956,0.25406,0.27936,0.80983,0.0007228,0.0007228,0.0007228
9,1762.19,0.43541,0.64647,0.90792,0.94761,0.9418,0.978,0.94203,0.26868,0.2737,0.81561,0.0006832,0.0006832,0.0006832
10,1943.76,0.42448,0.64328,0.90618,0.94816,0.94202,0.97991,0.93449,0.29495,0.26875,0.81955,0.0006436,0.0006436,0.0006436
11,2182.66,0.41178,0.62351,0.89795,0.94714,0.95072,0.98077,0.93701,0.29993,0.25916,0.82037,0.000604,0.000604,0.000604
12,2384.46,0.40319,0.61507,0.89553,0.95116,0.94214,0.98123,0.93746,0.29916,0.26435,0.82024,0.0005644,0.0005644,0.0005644
13,2581.58,0.39584,0.61534,0.89598,0.9515,0.95084,0.98229,0.95284,0.2477,0.24255,0.80574,0.0005248,0.0005248,0.0005248
14,2801.5,0.38395,0.59598,0.89061,0.95538,0.95667,0.98321,0.96469,0.20609,0.22089,0.79386,0.0004852,0.0004852,0.0004852
15,3014.94,0.37464,0.58803,0.88762,0.95195,0.95396,0.98283,0.96383,0.21382,0.22486,0.79518,0.0004456,0.0004456,0.0004456
16,3209.02,0.28452,0.37506,0.8514,0.95776,0.9536,0.98404,0.95275,0.26545,0.2329,0.80663,0.000406,0.000406,0.000406
17,3406.09,0.27101,0.363,0.84487,0.9614,0.95165,0.98417,0.96809,0.20309,0.21122,0.79022,0.0003664,0.0003664,0.0003664
18,3602.83,0.26362,0.3523,0.84154,0.95971,0.95668,0.98421,0.96931,0.19258,0.20598,0.78769,0.0003268,0.0003268,0.0003268
19,3825.26,0.25665,0.34519,0.84163,0.96441,0.95303,0.98511,0.97644,0.15857,0.19214,0.77964,0.0002872,0.0002872,0.0002872
20,4027.99,0.252,0.34331,0.83798,0.96077,0.95375,0.98511,0.97472,0.16857,0.19791,0.78151,0.0002476,0.0002476,0.0002476
21,4221.32,0.24705,0.33151,0.83681,0.96102,0.95793,0.98544,0.97578,0.16609,0.19375,0.78117,0.000208,0.000208,0.000208
22,4419.81,0.24261,0.33097,0.83625,0.95618,0.96078,0.9859,0.97757,0.1542,0.18802,0.77831,0.0001684,0.0001684,0.0001684
23,4611.08,0.23833,0.3277,0.83533,0.96676,0.9565,0.98609,0.9705,0.20237,0.19411,0.78849,0.0001288,0.0001288,0.0001288
24,4801.04,0.23629,0.32457,0.8365,0.96554,0.95405,0.9859,0.97642,0.15857,0.18608,0.77894,8.92e-05,8.92e-05,8.92e-05
25,4987.72,0.23254,0.32008,0.83234,0.96734,0.95412,0.98618,0.97688,0.15894,0.18312,0.77949,4.96e-05,4.96e-05,4.96e-05
