epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.966,1.45111,3.57111,1.37242,0.15356,0.59394,0.19277,0.13113,0.9455,2.39453,1.16704,0.0670528,0.0003328,0.0003328
2,223.78,0.89687,2.36666,1.10931,0.46456,0.66857,0.53064,0.43847,0.64717,1.50394,0.97761,0.0340264,0.000639754,0.000639754
3,334.939,0.74583,1.7333,1.03167,0.71472,0.7752,0.80702,0.66687,0.66292,1.00527,0.96459,0.000973642,0.000920309,0.000920309
4,448.522,0.66212,1.39002,0.98427,0.82022,0.85061,0.90367,0.82824,0.39841,0.71263,0.85419,0.0008812,0.0008812,0.0008812
5,561.625,0.60215,1.22425,0.95527,0.86804,0.87337,0.93188,0.84074,0.44165,0.60641,0.86738,0.0008416,0.0008416,0.0008416
6,672.828,0.5596,1.1258,0.9386,0.88729,0.89229,0.94585,0.87926,0.37109,0.55323,0.8353,0.000802,0.000802,0.000802
7,787.374,0.53008,1.06215,0.92793,0.88435,0.89037,0.94605,0.89587,0.3315,0.53592,0.82567,0.0007624,0.0007624,0.0007624
8,899.972,0.5108,1.02117,0.92075,0.86118,0.881,0.94035,0.89571,0.30991,0.55738,0.81881,0.0007228,0.0007228,0.0007228
9,1010.53,0.49154,0.97736,0.91446,0.91952,0.92085,0.96539,0.92593,0.28911,0.4378,0.80639,0.0006832,0.0006832,0.0006832
10,1122.04,0.47762,0.96302,0.91022,0.90609,0.91665,0.96203,0.89557,0.35829,0.46657,0.82988,0.0006436,0.0006436,0.0006436
11,1233.12,0.46572,0.93039,0.90209,0.8844,0.90537,0.95518,0.90296,0.33477,0.49431,0.82214,0.000604,0.000604,0.000604
12,1345.64,0.45551,0.91623,0.89961,0.91953,0.90341,0.96568,0.93186,0.26307,0.42943,0.80332,0.0005644,0.0005644,0.0005644
13,1451.16,0.44252,0.90627,0.89812,0.92316,0.92694,0.9701,0.90184,0.3621,0.41608,0.82655,0.0005248,0.0005248,0.0005248
14,1556.47,0.43139,0.88546,0.89296,0.9254,0.92831,0.97236,0.95056,0.22949,0.37617,0.79504,0.0004852,0.0004852,0.0004852
15,1661.03,0.42288,0.87287,0.8905,0.93255,0.92328,0.97264,0.95219,0.22646,0.37362,0.79312,0.0004456,0.0004456,0.0004456
16,1764.37,0.32736,0.70863,0.8544,0.93611,0.9256,0.97367,0.95273,0.21715,0.36089,0.78936,0.000406,0.000406,0.000406
17,1867.86,0.31257,0.68834,0.84828,0.93706,0.93119,0.9751,0.95212,0.22349,0.34948,0.78969,0.0003664,0.0003664,0.0003664
18,1970.08,0.3006,0.67083,0.84455,0.94392,0.93001,0.97617,0.95795,0.21974,0.3376,0.78715,0.0003268,0.0003268,0.0003268
19,2073.36,0.29536,0.65886,0.84436,0.92535,0.93512,0.97406,0.94977,0.23465,0.35336,0.79182,0.0002872,0.0002872,0.0002872
20,2176.76,0.28698,0.64889,0.84007,0.93875,0.93674,0.97664,0.96125,0.19313,0.3263,0.78239,0.0002476,0.0002476,0.0002476
21,2281.49,0.28335,0.63794,0.83871,0.94717,0.93742,0.97784,0.96234,0.19783,0.32066,0.78294,0.000208,0.000208,0.000208
22,2384.4,0.27746,0.6312,0.83721,0.93438,0.94296,0.97759,0.96362,0.1898,0.31797,0.78177,0.0001684,0.0001684,0.0001684
23,2487.39,0.27433,0.62717,0.83813,0.94637,0.93837,0.9786,0.96295,0.195,0.31154,0.78258,0.0001288,0.0001288,0.0001288
24,2589.89,0.27001,0.62132,0.83747,0.93945,0.94279,0.97823,0.96818,0.16877,0.30433,0.77702,8.92e-05,8.92e-05,8.92e-05
25,2693.62,0.26406,0.61799,0.83332,0.94803,0.93465,0.97865,0.96668,0.17172,0.30543,0.77815,4.96e-05,4.96e-05,4.96e-05
